만족도,단어,빈도수
0,만족,배송,7303
1,만족,너무,5506
2,만족,구매,5310
3,만족,아기,4510
4,만족,가격,2783
5,만족,저렴,2450
6,만족,때,2325
7,만족,제품,2247
8,만족,더,2100
9,만족,것,2052
10,만족,아이,1954
11,만족,맘,1821
12,만족,아직,1683
13,만족,구입,1667
14,만족,좀,1539
15,만족,조립,1537
16,만족,사용,1408
17,만족,물티슈,1362
18,만족,아주,1339
19,만족,디자인,1312
20,만족,선물,1308
21,만족,유모차,1277
22,만족,거,1255
23,만족,생각,1225
24,만족,요,1216
25,만족,이유식,1159
26,만족,용,1134
27,만족,여름,1042
28,만족,사이즈,1025
29,만족,정말,988
30,만족,마음,961
31,만족,상품,948
32,만족,항상,942
33,만족,애기,914
34,만족,조금,887
35,만족,또,864
36,만족,다른,836
37,만족,베베,833
38,만족,만족,830
39,만족,수,806
40,만족,아가,805
41,만족,개월,760
42,만족,대비,733
43,만족,숲,728
44,만족,늘,724
45,만족,색상,720
46,만족,침대,681
47,만족,보고,666
48,만족,완전,638
49,만족,하나,628
50,만족,세탁,628
51,만족,바로,612
52,만족,출산,604
53,만족,제,566
54,만족,스푼,563
55,만족,친구,559
56,만족,해,553
57,만족,역시,548
58,만족,크기,546
59,만족,흡착,537
60,만족,걸,528
61,만족,양말,517
62,만족,처음,516
63,만족,쓰기,504
64,만족,계속,499
65,만족,부분,496
66,만족,저,491
67,만족,추천,491
68,만족,이제,477
69,만족,굿,464
70,만족,이,463
71,만족,전,460
72,만족,개,446
73,만족,색깔,435
74,만족,포장,434
75,만족,그냥,429
76,만족,정도,428
77,만족,하니,426
78,만족,냄새,425
79,만족,우리,423
80,만족,듯,421
81,만족,진짜,411
82,만족,임신,411
83,만족,재질,411
84,만족,매우,407
85,만족,다음,406
86,만족,설명,405
87,만족,일단,402
88,만족,목욕,401
89,만족,감,399
90,만족,짱,398
91,만족,비,387
92,만족,안,380
93,만족,집,376
94,만족,데,370
95,만족,둘째,369
96,만족,방지,365
97,만족,소재,364
98,만족,햇,362
99,만족,후,359
100,만족,신생아,359
101,만족,가성,358
102,만족,두께,357
103,만족,사은,357
104,만족,커서,348
105,만족,고민,348
106,만족,지금,348
107,만족,조카,347
108,만족,듭니,345
109,만족,물건,344
110,만족,유용,338
111,만족,도톰,337
112,만족,미끄럼,335
113,만족,도,332
114,만족,여러,331
115,만족,전이,330
116,만족,한번,328
117,만족,색,328
118,만족,어요,327
119,만족,살,326
120,만족,이번,324
121,만족,느낌,323
122,만족,쿠션,319
123,만족,와,318
124,만족,여,312
125,만족,빨,310
126,만족,첫째,309
127,만족,사서,308
128,만족,앞,307
129,만족,여기,306
130,만족,시간,305
131,만족,최고,304
132,만족,오래,304
133,만족,배,303
134,만족,혼자,303
135,만족,땀,301
136,만족,후기,299
137,만족,치약,295
138,만족,라이너,293
139,만족,품,289
140,만족,날,287
141,만족,번창,285
142,만족,다시,284
143,만족,사진,282
144,만족,미리,281
145,만족,중,281
146,만족,의자,276
147,만족,요조,275
148,만족,사,275
149,만족,호,274
