만족도,단어,빈도수
0,만족,배송,5750
1,만족,구매,4043
2,만족,너무,3698
3,만족,향,2702
4,만족,제품,2568
5,만족,것,1980
6,만족,가격,1882
7,만족,피부,1876
8,만족,사용,1752
9,만족,아직,1672
10,만족,저렴,1649
11,만족,거,1615
12,만족,더,1432
13,만족,느낌,1348
14,만족,샴푸,1220
15,만족,정말,1199
16,만족,진짜,1170
17,만족,머리,1167
18,만족,좀,1116
19,만족,요,1091
20,만족,아주,1076
21,만족,효과,1048
22,만족,또,1022
23,만족,용량,1008
24,만족,때,974
25,만족,보고,947
26,만족,커버,924
27,만족,구입,911
28,만족,색,910
29,만족,완전,872
30,만족,생각,851
31,만족,상품,811
32,만족,한번,804
33,만족,발라,798
34,만족,다른,797
35,만족,제,792
36,만족,냄새,789
37,만족,저,776
38,만족,맘,769
39,만족,크림,733
40,만족,번,706
41,만족,얼굴,699
42,만족,처음,698
43,만족,만족,685
44,만족,끈,661
45,만족,항상,658
46,만족,계속,653
47,만족,용,634
48,만족,일단,626
49,만족,개,617
50,만족,이,605
51,만족,마음,590
52,만족,발림,571
53,만족,추천,560
54,만족,두피,558
55,만족,조금,548
56,만족,정도,541
57,만족,전,534
58,만족,데,531
59,만족,다음,518
60,만족,색상,511
61,만족,봐,489
62,만족,하나,487
63,만족,안,482
64,만족,화장,481
65,만족,듯,479
66,만족,오래,477
67,만족,후기,472
68,만족,후,471
69,만족,지속,468
70,만족,짱,467
71,만족,거품,458
72,만족,그냥,456
73,만족,포장,445
74,만족,제모,442
75,만족,선크림,436
76,만족,굿,429
77,만족,쓰기,423
78,만족,늘,418
79,만족,약간,414
80,만족,역시,413
81,만족,머릿결,404
82,만족,대비,401
83,만족,바로,397
84,만족,감,393
85,만족,다시,390
86,만족,수,387
87,만족,톤,386
88,만족,색도,382
89,만족,최고,381
90,만족,매우,374
91,만족,여름,371
92,만족,기대,368
93,만족,트러블,366
94,만족,해,364
95,만족,결,362
96,만족,색깔,361
97,만족,자극,354
98,만족,성분,347
99,만족,쿠션,337
100,만족,삐,329
101,만족,이번,318
102,만족,각질,315
103,만족,분,309
104,만족,털,307
105,만족,원래,306
106,만족,거리,300
107,만족,평이,299
108,만족,걸,298
109,만족,빨,296
110,만족,습,293
111,만족,선물,289
112,만족,의사,285
113,만족,살짝,284
114,만족,가성,282
115,만족,여,281
116,만족,사서,279
117,만족,평,279
118,만족,샘플,278
119,만족,호,277
120,만족,양,276
121,만족,친구,272
122,만족,시간,267
123,만족,수분,265
124,만족,세,264
125,만족,여기,264
126,만족,엄마,263
127,만족,하루,262
128,만족,비,261
129,만족,손,259
130,만족,린스,258
131,만족,지성,258
132,만족,도,255
133,만족,적임,254
134,만족,이건,252
135,만족,기분,251
136,만족,썬크림,250
137,만족,앞,250
138,만족,건성,247
139,만족,와,247
140,만족,전이,246
141,만족,발색,245
142,만족,별로,245
143,만족,유,243
144,만족,나,239
145,만족,향기,238
146,만족,적극,238
147,만족,보습,238
148,만족,스틱,238
149,만족,핑크,237
