단어,빈도수합계
0,배송,73941
1,너무,46325
2,구매,41986
3,가격,29619
4,제품,20989
5,것,18728
6,더,18102
7,저렴,16927
8,아주,15994
9,좀,16284
10,생각,15141
11,정말,13613
12,때,13904
13,맘,13047
14,거,13002
15,맛,12688
16,구입,11091
17,요,11323
18,아직,11122
19,또,9931
20,사용,10036
21,상품,9533
22,용,8904
23,완전,8701
24,마음,8567
25,대비,8876
26,만족,8532
27,진짜,8437
28,사이즈,8744
29,디자인,8327
30,조금,8785
31,포장,8105
32,다른,8150
33,선물,7757
34,하나,7162
35,느낌,7387
36,개,6980
37,색상,6993
38,비,6716
39,가성,6664
40,처음,6519
41,제,6654
42,정도,6459
43,매우,6103
44,냄새,6535
45,보고,6071
46,수,5951
47,저,6082
48,다음,5809
49,조립,5875
50,그냥,7484
51,굿,5522
52,아기,5523
53,추천,5436
54,이,5540
55,집,5231
56,향,5317
57,아이,5110
58,짱,4985
59,일단,5104
60,바로,4989
61,효과,5038
62,최고,4668
63,항상,4554
64,데,4740
65,안,4848
66,전,4458
67,크기,4250
68,색,4420
69,부분,4758
70,듯,4347
71,역시,4038
72,여름,4116
73,걸,4124
74,오래,4252
75,계속,4023
76,물건,4146
77,한번,3976
78,해,3987
79,의자,4068
80,듭니,3721
81,와,3802
82,감,3762
83,번창,3536
84,사진,3872
85,설치,3597
86,약간,3858
87,여기,3457
88,이번,3472
89,분,3606
90,하루,3438
91,주문,3422
92,사,3330
93,색깔,3380
94,하니,3215
95,매트,3184
96,빨,3153
97,후,3203
98,앞,3104
99,물,3093
100,날,3084
101,살,2964
102,적극,2894
103,다시,3101
104,도,2946
105,번,2976
106,다만,2944
107,봐,3109
108,습,2813
109,충전,2932
110,곳,2899
111,재질,2967
112,기분,2819
113,품질,2781
114,여,2786
115,살짝,2896
116,별로,3273
117,늘,2651
118,시간,2719
119,옷,2855
120,상태,2730
121,햇,2639
122,후기,2634
123,일,2781
124,제일,2532
125,자주,2506
126,친구,2468
127,쓰기,2529
128,발,2642
129,색도,2442
130,평,2514
131,피부,2505
132,강추,2355
133,엄마,2387
134,사서,2378
135,중,2374
136,무난,2571
137,때문,2409
138,여러,2304
139,이제,2253
140,지금,2290
141,굿굿,2232
142,소리,2354
143,사람,2282
144,용량,2221
145,감사,2206
146,뭐,2349
147,모두,2170
148,커버,2329
149,먹기,2157
150,안나,2153
151,보,2182
152,간식,2053
153,쿠션,2206
154,고민,2048
155,기대,2188
156,추가,2057
157,성능,2049
158,어요,2089
159,기존,2028
160,이상,2110
161,어,2054
162,걱정,2004
163,시,2111
164,꼭,2001
165,목,2089
166,나,2039
167,애,2014
168,사은,1972
169,케이스,2025
170,알,1972
171,무엇,1896
172,원래,1976
173,게,1943
174,차,1903
175,품,1940
176,눈,1910
177,강아지,1836
178,키,1918
179,못,1998
180,두번째,1825
181,머리,1930
182,화이트,1852
183,의사,1801
184,길이,1940
185,인터넷,1806
186,부모님,1770
187,블랙,1812
188,재,1785
189,설명,1896
190,커서,1828
191,오늘,1774
192,달,1810
193,손,1798
194,문제,1857
195,이건,1753
196,속도,1710
197,금방,1733
198,가방,1745
199,허리,1826
200,그레이,1714
201,편이,1739
202,몸,1698
203,두께,1688
204,기사,1773
205,침대,1671
206,대박,1623
207,박스,1820
208,남편,1635
209,택배,1884
210,저희,1633
211,요즘,1620
212,소재,1721
213,족,1590
214,물티슈,1597
215,신랑,1606
216,등,1708
217,세탁,1673
218,예정,1576
219,가지,1587
220,애기,1595
221,바닥,1631
222,말,1632
223,거치,1568
224,요조,1544
225,오,1572
226,점,1610
227,드네,1527
228,착용,1602
229,기,1549
230,덜,1568
231,판매,1576
232,보이,1522
233,우리,1482
234,그,1567
235,평이,1528
236,매번,1458
237,고급,1483
238,기능,1489
239,화면,1636
240,대만,1424
241,심플,1459
242,일반,1504
243,부담,1432
244,다이어트,1419
245,고정,1586
246,조절,1496
247,끈,1488
248,그대로,1471
249,너,1419
250,다리,1460
251,전이,1474
252,거실,1375
253,운동,1347
254,위,1389
255,세,1394
256,아침,1341
257,매일,1326
258,이유식,1336
259,검색,1327
260,무게,1371
261,구,1390
262,크림,1344
263,와이파이,1307
264,신발,1506
265,타,1328
266,유모차,1321
267,니,1369
268,크게,1403
269,입,1388
270,우선,1319
271,치약,1274
272,가슴,1290
273,산,1304
274,샴푸,1304
275,거의,1337
276,막,1361
277,공유기,1256
278,닭,1270
279,지인,1269
280,혼자,1290
281,핸드폰,1283
282,달라,1370
283,힘,1349
284,먼지,1316
285,핑크,1339
286,개월,1261
287,기도,1252
288,방,1240
289,함,1400
290,고장,1246
291,이즈,1345
292,배,1270
293,바,1251
294,아들,1205
295,가장,1193
296,퀄리티,1233
297,컬러,1219
298,양,1262
299,얼굴,1236
300,기본,1243
301,호,1223
302,년,1173
303,뒤,1287
304,자,1233
305,색감,1206
306,왜,1286
307,거리,1262
308,좀더,1249
309,나름,1263
310,흰색,1207
311,양도,1126
312,이불,1233
313,무,1179
314,공간,1130
315,미리,1144
316,구성,1141
317,평소,1126
318,만,1170
319,질,1184
320,아가,1097
321,담,1084
322,유용,1084
323,스피커,1084
324,건,1139
325,나중,1090
326,모양,1131
327,건강,1074
328,사고,1073
329,차량,1078
330,티,1180
331,식탁,1079
332,편,1134
333,리,1072
334,수납,1066
335,가족,1035
336,통,1099
337,면,1078
338,줄,1121
339,전혀,1060
340,자체,1154
341,직접,1050
342,벌써,1008
343,마감,1222
344,회사,1008
345,요가,980
346,예전,994
347,노니,958
348,보통,1530
349,만원,1072
350,바람,991
351,발라,994
352,보드,973
353,로,976
354,폭,1001
355,작동,984
356,고,971
357,가죽,1061
358,볼,971
359,워낙,954
360,전체,1003
361,도움,955
362,서비스,976
363,분위기,942
364,책상,990
365,보기,968
366,차이,1008
367,베개,963
368,각인,937
369,위해,920
370,인테리어,916
371,신경,1013
372,이틀,951
373,자꾸,967
374,덕분,887
375,여행,908
376,높이,957
377,후회,900
378,마사지,897
379,단점,925
380,장,919
381,이유,893
382,보지,933
383,온,906
384,어깨,914
385,스,935
386,단계,900
387,세트,894
388,베이지,937
389,베베,849
390,뭔가,968
391,처리,992
392,거품,885
393,젤,867
394,유,885
395,티비,858
396,자석,867
397,둘,873
398,여자,885
399,팩,866
400,주,951
401,해주시,847
402,어머니,853
403,흡수,882
404,빨래,840
405,음질,837
406,동생,830
407,끝,887
408,디,830
409,꽤,842
410,두,831
411,무선,850
412,성분,816
413,귀걸이,843
414,사무실,810
415,속,837
416,빵빵,800
417,브랜드,812
418,밴드,847
419,임,912
420,소음,839
421,화장,819
422,별,822
423,단,821
424,즙,787
425,실물,813
426,폰,822
427,칼,804
428,주변,775
429,방지,784
430,어디,791
431,지갑,774
432,일주일,883
433,에드,774
434,병,768
435,손잡이,794
436,쪽,895
437,톤,788
438,여기저기,765
439,질도,756
440,숲,742
441,남자친구,743
442,정사,827
443,첫,757
444,하자,809
445,주시,764
446,정리,761
447,휴대,746
448,옆,796
449,개인,788
450,저녁,745
451,핏,826
452,땀,745
453,진작,725
454,문,765
