만족도,단어,빈도수
0,만족,배송,10931
1,만족,가격,4591
2,만족,구매,4545
3,만족,너무,4542
4,만족,제품,3502
5,만족,아주,2651
6,만족,것,2208
7,만족,가성,2047
8,만족,정말,2031
9,만족,저렴,1945
10,만족,비,1909
11,만족,디자인,1784
12,만족,거,1613
13,만족,더,1559
14,만족,대비,1535
15,만족,생각,1474
16,만족,사용,1461
17,만족,설치,1345
18,만족,좀,1342
19,만족,소리,1335
20,만족,와이파이,1279
21,만족,구입,1254
22,만족,때,1242
23,만족,맘,1242
24,만족,공유기,1236
25,만족,완전,1232
26,만족,진짜,1212
27,만족,상품,1205
28,만족,만족,1189
29,만족,매우,1175
30,만족,성능,1107
31,만족,아직,1081
32,만족,마음,1081
33,만족,속도,1079
34,만족,요,1030
35,만족,스피커,1024
36,만족,충전,943
37,만족,굿,926
38,만족,용,897
39,만족,추천,888
40,만족,하나,881
41,만족,개,879
42,만족,키,876
43,만족,포장,871
44,만족,처음,867
45,만족,바로,855
46,만족,케이스,850
47,만족,이,828
48,만족,최고,822
49,만족,다음,817
50,만족,조금,807
51,만족,집,802
52,만족,정도,796
53,만족,수,767
54,만족,역시,762
55,만족,음질,756
56,만족,고장,749
57,만족,인터넷,744
58,만족,그냥,732
59,만족,일단,726
60,만족,짱,710
61,만족,보드,697
62,만족,또,690
63,만족,다른,671
64,만족,전,663
65,만족,화질,658
66,만족,물건,655
67,만족,제,631
68,만족,기존,613
69,만족,와,601
70,만족,작동,578
71,만족,크기,574
72,만족,보고,560
73,만족,모니터,559
74,만족,저,559
75,만족,듭니,558
76,만족,빨,545
77,만족,날,540
78,만족,번창,531
79,만족,노트북,527
80,만족,안,525
81,만족,티비,517
82,만족,빵빵,508
83,만족,감,503
84,만족,적극,498
85,만족,듯,493
86,만족,용량,492
87,만족,느낌,489
88,만족,이번,489
89,만족,걸,484
90,만족,기,484
91,만족,문제,483
92,만족,인치,470
93,만족,연결,462
94,만족,하루,461
95,만족,터치,457
96,만족,필름,456
97,만족,삼각대,456
98,만족,이상,452
99,만족,분,451
100,만족,사진,450
101,만족,오래,447
102,만족,선물,446
103,만족,타임,445
104,만족,부분,444
105,만족,아이피,432
106,만족,기능,431
107,만족,데,427
108,만족,품질,426
109,만족,화면,414
110,만족,뭐,414
111,만족,색상,412
112,만족,무선,411
113,만족,도,408
114,만족,핸드폰,408
115,만족,설명,404
116,만족,콘서트,385
117,만족,마우스,378
118,만족,다만,376
119,만족,습,370
120,만족,무게,370
121,만족,방,366
122,만족,소음,356
123,만족,외장하드,348
124,만족,굿굿,345
125,만족,여,344
126,만족,약간,342
127,만족,후,341
128,만족,기계,339
129,만족,앞,335
130,만족,상태,334
131,만족,폰,331
132,만족,곳,331
133,만족,평,330
134,만족,사이즈,329
135,만족,강추,329
136,만족,삼성,322
137,만족,바람,320
138,만족,쓰기,319
139,만족,사운드,319
140,만족,한번,319
141,만족,컴퓨터,315
142,만족,사,315
143,만족,다시,311
144,만족,여기,311
145,만족,년,309
146,만족,모두,303
147,만족,봐,303
148,만족,제일,300
149,만족,감사,298
150,만족,게임,295
151,만족,배터리,288
152,만족,보,282
153,만족,만원,276
154,만족,무엇,275
155,만족,이제,275
156,만족,중,274
157,만족,꼭,271
158,만족,사람,270
159,만족,브리츠,269
160,만족,번,269
161,만족,설정,269
162,만족,무난,269
163,만족,멀리,267
164,만족,족,262
165,만족,시간,262
166,만족,일,261
167,만족,리모컨,260
168,만족,원래,259
169,만족,햇,259
170,만족,택배,257
171,만족,대박,256
172,만족,사서,255
173,만족,지금,254
174,만족,주문,252
175,만족,기분,251
176,만족,별로,251
177,만족,선,251
178,만족,하니,250
179,만족,점,249
180,만족,때문,249
181,만족,계속,246
182,만족,케이블,246
183,만족,시,246
184,만족,여러,244
185,만족,코털,244
186,만족,화이트,244
187,만족,어,239
188,만족,나,237
189,만족,대만,236
190,만족,파우치,233
191,만족,걱정,232
192,만족,사무실,232
193,만족,드네,229
194,만족,그,229
195,만족,후기,229
196,만족,기대,227
197,만족,길이,227
198,만족,바,221
199,만족,고민,221
200,만족,안테나,221
201,만족,회사,220
202,만족,해,216
203,만족,강화유리,213
204,만족,로,212
205,만족,왜,212
206,만족,색깔,212
207,만족,이건,211
208,만족,커서,210
209,만족,못,209
210,만족,신호,209
211,만족,색,208
212,만족,인식,207
213,만족,검색,207
214,만족,아이폰,207
215,만족,액정,204
216,만족,손,204
217,만족,친구,204
218,만족,보이,203
219,만족,조절,203
220,만족,살짝,203
221,만족,기사,200
222,만족,추가,199
223,만족,가지,198
224,만족,불량,197
225,만족,게,196
226,만족,아이,195
227,만족,정품,194
228,만족,카,194
229,만족,커버,191
230,만족,자주,189
231,만족,오늘,186
232,만족,차이,186
233,만족,심플,186
234,만족,우선,185
235,만족,일반,185
236,만족,기본,185
237,만족,예전,183
238,만족,알,183
239,만족,퀄리티,182
240,만족,블랙,182
241,만족,판매,181
242,만족,오,181
243,만족,나시,180
244,만족,항상,178
245,만족,모델,177
246,만족,이어폰,177
247,만족,무,176
248,만족,거리,175
249,만족,자체,173
250,만족,말,173
251,만족,평이,173
