만족도,단어,빈도수
0,만족,배송,5976
1,만족,너무,5235
2,만족,가격,2758
3,만족,구매,2526
4,만족,사이즈,2151
5,만족,맘,1848
6,만족,생각,1722
7,만족,더,1654
8,만족,선물,1472
9,만족,좀,1453
10,만족,포장,1419
11,만족,저렴,1359
12,만족,것,1336
13,만족,가방,1282
14,만족,정말,1118
15,만족,신발,1074
16,만족,마음,1063
17,만족,완전,964
18,만족,진짜,929
19,만족,대비,923
20,만족,디자인,920
21,만족,상품,869
22,만족,발,826
23,만족,데,814
24,만족,색상,800
25,만족,아주,796
26,만족,용,790
27,만족,사진,787
28,만족,귀걸이,786
29,만족,다른,785
30,만족,때,781
31,만족,거,781
32,만족,제품,761
33,만족,이즈,754
34,만족,냄새,748
35,만족,조금,730
36,만족,지갑,726
37,만족,만족,717
38,만족,요,716
39,만족,크기,670
40,만족,또,630
41,만족,정사,626
42,만족,하나,607
43,만족,제,594
44,만족,반지,561
45,만족,정도,543
46,만족,구입,530
47,만족,저,521
48,만족,신고,512
49,만족,안,507
50,만족,각인,503
51,만족,색,493
52,만족,오래,492
53,만족,신어,491
54,만족,가죽,474
55,만족,그냥,470
56,만족,발볼,442
57,만족,무난,430
58,만족,크게,425
59,만족,심플,425
60,만족,다음,421
61,만족,일리,418
62,만족,수,417
63,만족,느낌,415
64,만족,짱,409
65,만족,구두,388
66,만족,여름,387
67,만족,이,381
68,만족,처음,378
69,만족,굿,378
70,만족,수납,376
71,만족,색도,374
72,만족,와,370
73,만족,색깔,367
74,만족,스카프,366
75,만족,듭니,363
76,만족,부분,358
77,만족,남자친구,353
78,만족,블랙,351
79,만족,개,351
80,만족,해,351
81,만족,물건,345
82,만족,실물,343
83,만족,살짝,339
84,만족,보고,333
85,만족,추천,333
86,만족,바로,326
87,만족,매우,325
88,만족,발도,320
89,만족,약간,316
90,만족,아직,314
91,만족,기분,308
92,만족,듯,305
93,만족,일,299
94,만족,착용,298
95,만족,비,291
96,만족,하루,290
97,만족,하니,285
98,만족,걸,282
99,만족,일단,278
100,만족,퀄리티,278
101,만족,감,278
102,만족,햇,277
103,만족,번창,274
104,만족,상태,274
105,만족,가성,274
106,만족,재질,271
107,만족,고급,269
108,만족,여기,269
109,만족,베이지,267
110,만족,보,263
111,만족,친구,262
112,만족,사은,262
113,만족,다만,261
114,만족,습,259
115,만족,악세사리,258
116,만족,끈,255
117,만족,별로,252
118,만족,그대로,251
119,만족,쿠션,251
120,만족,생일,251
121,만족,정리,250
122,만족,최고,250
123,만족,분,246
124,만족,도,234
125,만족,빨,233
126,만족,여,232
127,만족,케이스,227
128,만족,곳,226
129,만족,굽,226
130,만족,판매,223
131,만족,고민,223
132,만족,사람,221
133,만족,자주,220
134,만족,편이,220
135,만족,날,218
136,만족,품,217
137,만족,신기,217
138,만족,공간,216
139,만족,안나,216
140,만족,후기,212
141,만족,보이,212
142,만족,앞,211
143,만족,품질,211
144,만족,주문,210
145,만족,나,205
146,만족,쇼핑,198
147,만족,화이트,198
148,만족,사,197
149,만족,모양,196
150,만족,치수,196
151,만족,티,195
152,만족,화면,193
153,만족,전,192
154,만족,평,191
155,만족,해외,189
156,만족,엄마,188
157,만족,흰색,183
158,만족,컬러,182
159,만족,역시,180
160,만족,키,180
161,만족,굿굿,180
162,만족,아이보리,178
163,만족,벨트,177
164,만족,막,175
165,만족,일주일,175
166,만족,여러,175
167,만족,어요,172
168,만족,높이,170
169,만족,사서,169
170,만족,무엇,169
171,만족,달러,168
172,만족,평소,167
173,만족,정품,164
174,만족,목걸이,164
175,만족,적극,164
176,만족,알,164
177,만족,바닥,162
178,만족,강추,162
179,만족,편,160
180,만족,신,160
181,만족,편지지,160
182,만족,사고,160
183,만족,굽이,159
184,만족,링,159
185,만족,핑크,159
186,만족,대박,157
187,만족,운동화,156
188,만족,볼,156
189,만족,기대,154
190,만족,브라운,154
191,만족,실버,153
192,만족,포인트,153
193,만족,골드,150
194,만족,양말,150
195,만족,걱정,150
196,만족,감사,149
197,만족,발가락,149
198,만족,시간,147
199,만족,뒤,147
200,만족,오늘,147
201,만족,원래,147
202,만족,마감,145
203,만족,한번,142
204,만족,봐,142
205,만족,때문,141
206,만족,착,141
207,만족,함,140
208,만족,오,140
209,만족,이번,140
210,만족,네이비,140
211,만족,드네,139
212,만족,어디,139
213,만족,못,139
214,만족,이건,138
215,만족,모두,136
216,만족,지연,133
217,만족,다시,132
218,만족,작,132
219,만족,꼭,130
220,만족,뭐,130
221,만족,동생,129
222,만족,구,129
223,만족,길이,128
224,만족,살,128
225,만족,기본,128
226,만족,게,126
227,만족,끼,126
228,만족,박스,126
229,만족,해주시,125
230,만족,가지,125
231,만족,제일,124
232,만족,구성,124
233,만족,여기저기,123
234,만족,번,123
235,만족,질,123
236,만족,스타일,122
237,만족,어,121
238,만족,족,120
239,만족,이상,120
240,만족,보기,119
241,만족,서비스,119
242,만족,커서,118
243,만족,손가락,118
244,만족,보람,117
245,만족,쏙,117
246,만족,너,117
