만족도,단어,빈도수
0,만족,배송,1999
1,만족,너무,1951
2,만족,가격,1301
3,만족,맘,1065
4,만족,옷,1053
5,만족,구매,1020
6,만족,여름,852
7,만족,좀,814
8,만족,더,750
9,만족,재질,750
10,만족,색상,743
11,만족,사이즈,669
12,만족,소재,652
13,만족,것,631
14,만족,생각,607
15,만족,핏,602
16,만족,길이,559
17,만족,색,508
18,만족,저렴,487
19,만족,대비,482
20,만족,마음,449
21,만족,다른,435
22,만족,디자인,434
23,만족,요,424
24,만족,색깔,415
25,만족,사진,413
26,만족,바지,410
27,만족,조금,407
28,만족,완전,405
29,만족,입,390
30,만족,거,376
31,만족,진짜,351
32,만족,아주,342
33,만족,색도,342
34,만족,만족,333
35,만족,티,323
36,만족,때,322
37,만족,용,307
38,만족,정말,305
39,만족,화면,300
40,만족,그냥,298
41,만족,무난,297
42,만족,느낌,284
43,만족,원단,280
44,만족,아이,279
45,만족,데,263
46,만족,해,259
47,만족,약간,256
48,만족,제,246
49,만족,구입,239
50,만족,저,234
51,만족,치마,232
52,만족,수,231
53,만족,또,230
54,만족,살짝,230
55,만족,키,223
56,만족,블랙,222
57,만족,짱,222
58,만족,기본,221
59,만족,색감,218
60,만족,하나,213
61,만족,그대로,212
62,만족,린넨,212
63,만족,별로,203
64,만족,듯,202
65,만족,허리,201
66,만족,부분,200
67,만족,상품,200
68,만족,화이트,199
69,만족,베이지,195
70,만족,안,195
71,만족,굿,193
72,만족,정도,188
73,만족,핑크,187
74,만족,지금,176
75,만족,듭니,176
76,만족,흰색,175
77,만족,구김,167
78,만족,컬러,166
79,만족,하니,163
80,만족,개,163
81,만족,세탁,161
82,만족,보이,161
83,만족,기장,159
84,만족,부들부들,157
85,만족,살,154
86,만족,아직,154
87,만족,면,150
88,만족,아들,150
89,만족,청바지,147
90,만족,감,141
91,만족,자켓,140
92,만족,원피스,139
93,만족,이,138
94,만족,티셔츠,138
95,만족,속,137
96,만족,라인,134
97,만족,어깨,132
98,만족,오래,130
99,만족,질도,128
100,만족,스타일,128
101,만족,날씬,128
102,만족,제품,127
103,만족,목,124
104,만족,자주,121
105,만족,여성,120
106,만족,비,119
107,만족,촉감,118
108,만족,가성,118
109,만족,소매,118
110,만족,여,115
111,만족,다만,112
112,만족,편이,111
113,만족,질,110
114,만족,오,107
115,만족,아이보리,106
116,만족,요즘,104
117,만족,일리,101
118,만족,두께,100
119,만족,고민,99
120,만족,잠옷,98
121,만족,네이비,98
122,만족,트,98
123,만족,어,96
124,만족,햇,96
125,만족,모델,96
126,만족,굿굿,96
127,만족,추천,94
128,만족,사고,93
129,만족,편,93
130,만족,한여름,93
131,만족,팔,92
132,만족,너,91
133,만족,빨,88
134,만족,보,88
135,만족,대박,88
136,만족,일단,87
137,만족,막,87
138,만족,여기,86
139,만족,이즈,86
140,만족,걸,85
141,만족,역시,85
142,만족,전,84
143,만족,최고,84
144,만족,도,83
145,만족,바로,81
146,만족,냄새,81
147,만족,보고,81
148,만족,게,80
149,만족,팬티,80
150,만족,엉덩이,80
151,만족,매우,80
152,만족,속옷,79
153,만족,집,79
154,만족,면도,79
155,만족,링,77
156,만족,날씨,77
157,만족,심플,77
158,만족,세트,77
159,만족,와,76
160,만족,어요,76
161,만족,모두,75
162,만족,날,74
163,만족,여유,74
164,만족,그레이,74
165,만족,노랑,74
166,만족,레터,74
167,만족,소라색,73
168,만족,주름,73
169,만족,분,73
170,만족,습,72
171,만족,가지,72
172,만족,달라,71
173,만족,검정,71
174,만족,그린,71
175,만족,세,69
176,만족,사,68
177,만족,처음,68
178,만족,드네,67
179,만족,강추,67
180,만족,번창,67
181,만족,후,66
182,만족,루즈,66
183,만족,앞,66
184,만족,기분,66
185,만족,코디,66
186,만족,한철,65
187,만족,적극,65
188,만족,품,64
