만족도,단어,빈도수
0,만족,배송,11140
1,만족,너무,7886
2,만족,구매,7635
3,만족,가격,3909
4,만족,제품,3868
5,만족,아주,3243
6,만족,것,3101
7,만족,더,3091
8,만족,저렴,2535
9,만족,사용,2433
10,만족,정말,2388
11,만족,구입,2261
12,만족,거,2127
13,만족,때,2095
14,만족,좀,2025
15,만족,생각,1953
16,만족,아직,1883
17,만족,선물,1821
18,만족,디자인,1790
19,만족,용,1725
20,만족,또,1687
21,만족,맘,1674
22,만족,요,1662
23,만족,강아지,1651
24,만족,충전,1626
25,만족,개,1567
26,만족,하나,1487
27,만족,간식,1483
28,만족,완전,1448
29,만족,상품,1409
30,만족,만족,1376
31,만족,진짜,1370
32,만족,포장,1368
33,만족,거치,1328
34,만족,마음,1287
35,만족,다른,1259
36,만족,매우,1254
37,만족,조금,1213
38,만족,집,1168
39,만족,항상,1110
40,만족,효과,1101
41,만족,처음,1099
42,만족,수,1087
43,만족,일단,1057
44,만족,다음,1026
45,만족,비,1014
46,만족,차,998
47,만족,이,983
48,만족,차량,980
49,만족,정도,963
50,만족,제,960
51,만족,치약,955
52,만족,크기,934
53,만족,추천,929
54,만족,보고,929
55,만족,느낌,895
56,만족,대비,893
57,만족,최고,889
58,만족,바로,875
59,만족,짱,854
60,만족,가성,849
61,만족,굿,843
62,만족,사이즈,826
63,만족,저,816
64,만족,물건,802
65,만족,자석,801
66,만족,걸,800
67,만족,사,784
68,만족,안,783
69,만족,번창,775
70,만족,그냥,770
71,만족,부분,761
72,만족,전,751
73,만족,옷,728
74,만족,부모님,712
75,만족,한번,710
76,만족,냄새,689
77,만족,여기,684
78,만족,핸드폰,678
79,만족,곳,677
80,만족,계속,676
81,만족,이번,665
82,만족,오래,647
83,만족,색상,637
84,만족,목뼈,621
85,만족,데,619
86,만족,역시,617
87,만족,앞,613
88,만족,후,607
89,만족,매트,589
90,만족,우리,588
91,만족,듯,582
92,만족,봐,579
93,만족,하루,578
94,만족,빨래,577
95,만족,접착,577
96,만족,듭니,573
97,만족,와,571
98,만족,물,560
99,만족,아이,556
100,만족,적극,555
101,만족,애,555
102,만족,주문,554
103,만족,추가,552
104,만족,저희,537
105,만족,빨,535
106,만족,분,531
107,만족,미세먼지,531
108,만족,날,530
109,만족,다시,529
