만족도,단어,빈도수
0,만족,배송,6143
1,만족,구매,3238
2,만족,너무,2817
3,만족,가격,2551
4,만족,제품,2185
5,만족,아주,1949
6,만족,때,1711
7,만족,것,1501
8,만족,저렴,1358
9,만족,더,1332
10,만족,정말,1198
11,만족,좀,1137
12,만족,거,1136
13,만족,생각,1135
14,만족,사용,1134
15,만족,운동,1008
16,만족,매트,972
17,만족,사이즈,937
18,만족,상품,914
19,만족,대비,883
20,만족,아직,882
21,만족,구입,879
22,만족,냄새,875
23,만족,가성,850
24,만족,맘,843
25,만족,비,824
26,만족,용,815
27,만족,요가,809
28,만족,요,757
29,만족,만족,738
30,만족,조금,731
31,만족,매우,721
32,만족,짱,720
33,만족,완전,699
34,만족,굿,694
35,만족,마음,663
36,만족,하나,663
37,만족,개,627
38,만족,밴드,607
39,만족,집,595
40,만족,정도,571
41,만족,감,566
42,만족,최고,551
43,만족,다른,543
44,만족,착용,529
45,만족,수,528
46,만족,다음,528
47,만족,물건,527
48,만족,처음,527
49,만족,또,522
50,만족,마사지,505
51,만족,추천,490
52,만족,진짜,488
53,만족,제,488
54,만족,풀업,486
55,만족,그냥,479
56,만족,두께,456
57,만족,품질,452
58,만족,저,452
59,만족,색상,438
60,만족,디자인,426
61,만족,걸,423
62,만족,느낌,420
63,만족,이,413
64,만족,여름,406
65,만족,부분,405
66,만족,번창,403
67,만족,턱걸이,403
68,만족,고무,396
69,만족,단계,393
70,만족,일단,388
71,만족,바로,382
72,만족,재질,359
73,만족,듯,354
74,만족,안,347
75,만족,힘,343
76,만족,약간,343
77,만족,방수,339
78,만족,장갑,338
79,만족,분,333
80,만족,듭니,331
81,만족,데,329
82,만족,보고,328
83,만족,전,324
84,만족,포장,321
85,만족,물,321
86,만족,역시,310
87,만족,바람,306
88,만족,적극,298
89,만족,하니,291
90,만족,도움,289
91,만족,안나,287
92,만족,볼,285
93,만족,날,284
94,만족,다만,280
95,만족,하루,279
96,만족,선물,278
97,만족,와,275
98,만족,손,273
99,만족,이번,271
100,만족,오래,261
101,만족,상태,260
102,만족,속도,260
103,만족,모자,258
104,만족,색깔,257
105,만족,해,256
106,만족,바닥,252
107,만족,블랙,252
108,만족,자전거,251
109,만족,빨,249
110,만족,여,248
111,만족,시,246
112,만족,펌프,243
113,만족,별로,243
114,만족,습,239
115,만족,쓰기,239
116,만족,등,231
117,만족,감사,231
118,만족,모두,230
119,만족,사,229
120,만족,크기,229
121,만족,앞,229
122,만족,후,228
123,만족,다시,227
124,만족,아이,225
125,만족,스트레칭,225
126,만족,한번,223
127,만족,무릎,220
128,만족,길이,217
129,만족,굿굿,215
130,만족,문제,213
131,만족,타,212
132,만족,연습,210
133,만족,강추,208
134,만족,살짝,207
135,만족,여기,207
136,만족,곳,205
137,만족,가방,203
138,만족,이상,203
139,만족,양피,201
140,만족,무게,198
141,만족,성능,198
142,만족,이제,197
143,만족,바,197
144,만족,색,195
145,만족,여러,192
146,만족,색도,192
147,만족,신랑,186
148,만족,봐,185
149,만족,탄력,184
150,만족,사람,182
151,만족,햇,181
152,만족,못,180
153,만족,질,179
154,만족,사서,179
155,만족,남편,177
156,만족,사진,177
157,만족,발,173
158,만족,허리,173
159,만족,푸쉬업,172
160,만족,주문,171
161,만족,도,169
162,만족,뭐,165
163,만족,효과,165
164,만족,꼭,165
165,만족,전이,163
166,만족,게,162
167,만족,토시,162
168,만족,나,162
169,만족,번,162
170,만족,여행,162
171,만족,오늘,161
172,만족,중,160
173,만족,항상,160
174,만족,걱정,160
175,만족,때문,159
176,만족,근육,159
177,만족,흰색,159
178,만족,평,157
179,만족,기분,157
180,만족,어,157
181,만족,스노,154
182,만족,아들,153
183,만족,쿨링,153
184,만족,가지,153
185,만족,기존,152
186,만족,무난,151
187,만족,보드,150
188,만족,테스트,150
189,만족,일,149
190,만족,시간,148
191,만족,폭,147
